day,sleep.qualityDuration,sleep.score,strain.averageHeartRate,strain.score,recovery.heartRateVariabilityRmssd,recovery.restingHeartRate,recovery.score,nap_duration,Nap,Journal,Coffee,Moda,Alcohol,Exercise,Breathing exercises,Meditation,Morning walk,Morning sun,Weighted blanket,MD,Energy Rating (1-5),Emotional Rating,Satisfaction/Fullfilment,Summary,Nap (prev day),Journal (prev day),Coffee (prev day),Moda (prev day),Alcohol (prev day),Exercise (prev day),Breathing exercises (prev day),Meditation (prev day),Morning walk (prev day),Morning sun (prev day),Weighted blanket (prev day),MD (prev day),Energy Rating (1-5) (prev day),Emotional Rating (prev day),Satisfaction/Fullfilment (prev day),Summary (prev day)
2020-07-19,447.4677333333333,89.0,59,6.167394302954321,0.0203212,45.0,21.0,0.0,0,0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,1.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-20,517.9434833333332,100.0,69,13.487426876575,0.0790849,41.0,95.0,0.0,0,0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-21,496.0128,100.0,58,5.1325260901615595,0.050974,56.0,53.0,0.0,0,0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-22,485.21751666666665,100.0,65,8.017661012318639,0.0578573,44.0,66.0,0.0,0,0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,0,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-23,477.56486666666666,100.0,65,11.6786951195761,0.0125174,45.0,16.0,0.0,0,0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,0,1,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,0.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-24,446.69836666666674,93.0,64,5.98656414402285,0.0454367,45.0,50.0,0.0,0,0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,0.0,1.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-25,444.9505333333333,92.0,67,9.78852315694668,0.0363596,57.0,37.0,0.0,0,0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-26,442.49721666666665,90.0,61,15.2400174826874,0.0714749,41.0,83.0,0.0,0,0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,0,1,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-27,404.44333333333327,77.0,61,5.49136478918133,0.0467456,44.0,52.0,0.0,0,0,5.428571428571429,75.0,0.0,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,50.0,1.3703703703703705,0.0,0.0,49.27272727272727,0.0,1.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-28,298.2746,58.0,62,8.38620156189113,0.0103675,43.0,11.0,0.0,0,1,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1,0,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,75.0,0.0,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-29,417.8383,74.0,70,13.06801764952,0.0856415,51.0,86.0,0.0,0,0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,0,1,0,0,2.9,3.125,2.75,0.0,0.0,1.0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,1.0,0.0,0.0,0.0,2.9,3.125,2.75,0.0
2020-07-30,518.5855,95.0,69,8.315801942007651,0.0572004,48.0,63.0,0.0,0,0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,0,1,0,0,2.9,3.125,2.75,0.0,0.0,0.0,5.428571428571429,25.0,1.3703703703703705,0.0,0.0,49.27272727272727,0.0,1.0,0.0,0.0,2.9,3.125,2.75,0.0
