day,sleep.qualityDuration,sleep.score,strain.averageHeartRate,strain.score,recovery.heartRateVariabilityRmssd,recovery.restingHeartRate,recovery.score,nap_duration
2020-09-15,460.51241666666664,92.0,52,4.12979785290016,0.0452075,43.0,37.0,0.0
2020-09-16,476.08925,98.0,62,8.05812443625715,0.069589,42.0,63.0,0.0
2020-09-17,445.7838,94.0,67,7.49737254406223,0.0305143,58.0,21.0,0.0
2020-09-18,437.49215,90.0,69,12.8144967864422,0.0628026,42.0,54.0,22.506866666666667
2020-09-19,395.4128333333333,82.0,68,11.286704141947,0.055065,50.0,41.0,0.0
2020-09-20,448.28765,86.0,61,6.85037033857371,0.0587195,55.0,47.0,0.0
2020-09-21,513.6121166666667,100.0,62,9.88922757078416,0.044591,44.0,36.0,0.0
2020-09-22,453.66125,96.0,59,8.33803721820164,0.0722378,43.0,70.0,0.0
2020-09-23,460.03096666666664,96.0,70,13.6035148888026,0.0444776,45.0,35.0,0.0
2020-09-24,469.73721666666665,94.0,66,8.27106540379127,0.0557459,46.0,52.0,0.0
2020-09-25,454.5774666666667,93.0,64,7.4396197217579,0.071525,45.0,72.0,0.0
2020-09-26,443.49115,91.0,71,11.86966380459,0.0488939,58.0,35.0,0.0
2020-09-27,483.0194,96.0,59,7.40846246662146,0.103467,46.0,95.0,0.0
2020-09-28,469.0308166666667,98.0,67,10.3206602204467,0.0802157,50.0,75.0,0.0
2020-09-29,404.9728666666667,84.0,57,7.25480301831854,0.0623408,43.0,53.0,0.0
2020-09-30,458.5543333333333,91.0,75,14.3161234546773,0.051435,46.0,44.0,0.0
2020-10-01,459.0678833333333,89.0,68,9.5088181160152,0.0474401,45.0,39.0,0.0
2020-10-02,385.64213333333333,78.0,64,8.10713031413314,0.0643987,49.0,56.0,0.0
2020-10-03,459.9671,89.0,61,6.85074507524493,0.0461398,56.0,35.0,0.0
2020-10-04,485.57055,99.0,68,6.90011853717508,0.0565991,45.0,54.0,0.0
2020-10-05,484.63995,100.0,62,7.91933652185535,0.0530734,43.0,51.0,25.042316666666668
2020-10-06,467.5064,100.0,59,7.95426350282633,0.0958349,42.0,97.0,0.0
2020-10-07,484.07851666666664,100.0,66,12.2303585423996,0.101806,45.0,97.0,0.0
2020-10-08,481.5925,100.0,64,9.40103782418413,0.0899676,46.0,89.0,0.0
2020-10-09,436.6088833333333,93.0,66,11.515217512415,0.0472852,58.0,40.0,0.0
2020-10-10,397.43373333333335,80.0,73,13.8565014862138,0.0393646,58.0,25.0,0.0
2020-10-11,464.0087,87.0,62,8.07747563121712,0.0704036,48.0,63.0,0.0
2020-10-12,437.01071666666667,88.0,67,9.38310111932436,0.0118107,44.0,11.0,0.0
2020-10-13,456.3249,91.0,55,6.25766366070279,0.0804024,45.0,71.0,0.0
2020-10-14,413.26796666666667,85.0,66,7.37867982293442,0.0782669,51.0,67.0,0.0
2020-10-15,514.3802833333333,100.0,65,8.6357299075423,0.0551041,43.0,46.0,0.0
2020-10-16,383.8449,82.0,59,6.76292083585966,0.0861322,50.0,82.0,0.0
2020-10-17,445.51253333333335,88.0,57,5.19164516800115,0.0569574,46.0,50.0,0.0
2020-10-18,453.32483333333334,92.0,62,7.44258691205023,0.0675039,49.0,57.0,0.0
2020-10-19,476.07343333333336,97.0,57,6.28855390925302,0.0945811,46.0,89.0,0.0
2020-10-20,453.98376666666667,96.0,55,4.35018995677538,0.0747854,49.0,62.0,17.51835
2020-10-21,320.3833666666667,70.0,65,10.3133092052496,0.0365849,56.0,12.0,22.025583333333334
2020-10-22,453.48533333333336,87.0,61,8.39950429918953,0.0553312,52.0,42.0,0.0
2020-10-23,328.8691333333333,66.0,67,8.39090149615604,0.0508879,51.0,30.0,26.998816666666666
2020-10-24,462.8388,89.0,61,9.66400865526779,0.0396495,53.0,22.0,0.0
2020-10-25,469.04625,93.0,64,8.64371756415974,0.0429425,48.0,36.0,0.0
2020-10-26,472.4959666666667,96.0,56,5.18161338014618,0.0255897,43.0,21.0,0.0
2020-10-27,479.1861,100.0,69,8.23255327116862,0.052,44.0,51.0,0.0
2020-10-28,468.3079833333333,100.0,58,4.89722247929639,0.074545,54.0,80.0,0.0
2020-10-29,475.54475,100.0,62,5.12964589783378,0.0110343,46.0,13.0,0.0
2020-10-30,411.51893333333334,89.0,65,9.42169315599842,0.0686012,42.0,75.0,0.0
2020-10-31,155.19345,31.0,66,9.83365680229976,0.0323552,46.0,22.0,0.0
2020-11-01,427.31995,86.0,67,9.05944958308953,0.0570637,46.0,62.0,0.0
2020-11-02,411.5019833333333,82.0,68,12.757596795658,0.064147,45.0,64.0,0.0
2020-11-03,464.4100833333333,88.0,58,7.38308832967685,0.0607231,52.0,57.0,0.0
2020-11-04,434.9556166666667,88.0,63,7.23337504644797,0.0309945,45.0,28.0,0.0
2020-11-05,363.79305,74.0,52,4.470698209430412,0.0398381,43.0,35.0,23.00415
